Dumbbell Seated Curl, 3150000
Dumbbell Incline Curl, 4340000
Lever Curl, 5160000
Lever Alternating Curl, 6490000
Chin-up, 1200000000
Inverted Biceps Row, 811000
Inverted Biceps Row (high bar), 2690000
Doorway Biceps Stretch, 680000
Seated Biceps Stretch, 1050000
PNF Seated Biceps Stretch, 681000
Standing Biceps Stretch, 3490000
Wall Biceps Stretch, 2890000
Doorway Biceps Stretch, 680000
Seated Biceps Stretch, 1050000
PNF Seated Biceps Stretch, 685000
Standing Biceps Stretch, 3490000
Wall Biceps Stretch, 2890000
Suspended Biceps Curl, 1730000
Barbell Preacher Curl, 896000
Barbell Standing Preacher Curl, 309000
Barbell Prone Incline Curl, 165000
Cable Concentration Curl, 1690000
Cable Preacher Curl, 1390000
Cable Alternating Preacher Curl, 580000
Cable Standing Preacher Curl, 1120000
Cable One Arm Standing Preacher Curl, 1000000
Cable One Arm Preacher Curl, 1450000
Cable Preacher Curl (stirrups), 715000
Cable Prone Incline Curl, 762000
Dumbbell Concentration Curl, 1820000
Dumbbell Concentration Curl, 1280000
Dumbbell Preacher Curl, 1630000
Dumbbell Standing Preacher Curl, 596000
Dumbbell Standing Preacher Curl (on incline bench), 579000
Dumbbell Prone Incline Curl, 781000
Lever Preacher Curl (plate loaded), 847000
Lever Preacher Curl (arms high, plate loaded), 854000
Lever Alternating Preacher Curl (arms high, plate loaded), 878000
Lever Standing Preacher Curl (plate loaded), 841000
Lever Preacher Curl, 669000
Lever Preacher Curl (arms high), 897000
Lever Alternating Preacher Curl (arms high), 1670000
Lever Standing Preacher Curl, 1270000
Suspended Arm Curl, 5590000
Barbell Reverse Curl, 7970000
Barbell Reverse Preacher Curl, 233000
Barbell Standing Reverse Preacher Curl, 184000
Cable Hammer Curl, 6950000
Cable Reverse Curl, 5530000
Cable Bar Reverse Curl, 3900000
Cable Reverse Preacher Curl, 1100000
Cable Standing Reverse Preacher Curl, 1010000
Dumbbell Hammer Curl, 6280000
Lever Hammer Preacher Curl, 1280000
Lever Reverse Curl, 2240000
Lever Reverse Preacher Curl, 1070000
Standing Brachioradialis Stretch, 220000
Barbell Wrist Curl, 2270000
Cable Wrist Curl, 3850000
Cable One Arm Wrist Curl, 2800000
Cable Roller Wrist Flexion, 3260000
Dumbbell Wrist Curl, 3630000
Dumbbell Ulnar Deviation, 264000
Lever Grip (plate loaded), 9940000
Lever Wrist Curl (plate loaded), 2360000
Lever Grip, 28500000
Lever Ulnar Deviation, 826000
Lever Wrist Curl, 2300000
Lever Roller Wrist Flexion, 4590000
Lever Roller Ulnar Deviation, 779000
Sled One Hand Grip, 9960000
Sled Grip (plate loaded), 2730000
Sled One Hand Grip (plate loaded), 5310000
Sled One Hand Pinch Grip (plate loaded), 2450000
Praying Wrist Flexor Stretch, 1850000
Seated Wrist Flexor Stretch, 2240000
Single Arm Wrist Flexor Stretch, 5140000
Kneeling Wrist Flexor Stretch, 576000
Barbell Reverse Wrist Curl, 569000
Cable Reverse Wrist Curl, 2020000
Cable One Arm Reverse Wrist Curl, 2250000
Cable Roller Wrist Extension, 55700000
Dumbbell Radial Deviation, 616000
Dumbbell Reverse Wrist Curl, 1420000
Lever Reverse Wrist Curl (plate loaded), 2180000
Lever Radial Deviation, 1800000
Lever Reverse Wrist Curl, 2130000
Lever Roller Wrist Extension, 5560000
Lever Roller Radial Deviation, 1350000
Kneeling Wrist Extensor Stretch, 1280000
Single Arm Wrist Extensor Stretch, 18900000
Dumbbell Lying Pronation (arm up), 254000
Dumbbell Lying Pronation (arm down), 274000
Dumbbell Seated Pronation, 165000
Lever Seated Forearm Pronation, 672000
Lever Standing Forearm Pronation, 1500000
Dumbbell Lying Supination, 115000
Dumbbell Lying Supination (arm down), 714000
Dumbbell Seated Supination, 90400
Lever Seated Forearm Supination, 1210000
Lever Standing Forearm Supination, 1460000
Barbell Close Grip Bent-over Row, 863000
Barbell Underhand Bent-over Row, 90400
Cambered Barbell Lying Row, 65400
Cable Incline Row, 2700000
Cable Straight Back Incline Row, 2280000
Cable Kneeling Row, 1570000
Cable Lying Row, 9420000
Cable One Arm Bent-over Row, 5700000
Cable One Arm Seated Row, 2500000
Cable Twisting Seated Row, 2300000
Cable One Arm Seated High Row, 2220000
Cable One Arm Straight Back Seated High Row, 2520000
Cable Twisting Seated High Row, 2230000
Cable Seated High Row, 4460000
Cable Alternating Seated High Row, 900000
Cable Seated Row, 20600000
Cable Straight Back Seated Row, 2340000
Cable Wide Grip Seated Row, 1970000
Cable Wide Grip Straight Back Seated Row, 2450000
Cable Standing Row, 28500000
Cable Standing Low Row, 15400000
Cable Twisting Standing High Row, 1720000
Cable One Arm Seated Row, 2500000
Cable Twisting Seated Row, 2300000
Cable One Arm Seated High Row, 2220000
Cable One Arm Straight Back Seated High Row, 2520000
Cable Twisting Seated High Row, 2230000
Cable Seated High Row, 4460000
Cable Alternating Seated High Row, 900000
Cable Seated Row, 20600000
Cable Straight Back Seated Row, 2340000
Cable Wide Grip Seated Row, 1970000
Cable Wide Grip Straight Back Seated Row, 2450000
Cable Standing Row, 28500000
Cable Standing Low Row, 15400000
Cable Twisting Standing High Row, 1720000
Dumbbell Lying Row, 2130000
Dumbbell Incline Row, 4470000
Lever Bent-over Row (plate loaded), 2140000
Lever Barbell Bent-over Row (plate loaded), 323000
Lever One Arm Bent-over Row (plate loaded), 2650000
Lever Wide Grip Bent-over Row (plate loaded), 2730000
Lever Incline Row (plate loaded), 1110000
Lever Close Grip Incline Row (plate loaded), 1010000
Lever One Arm Standing Row (plate loaded), 2520000
Lever Narrow Grip Seated Row (plate loaded), 1330000
Lever Alternating Narrow Grip Seated Row (plate loaded), 1530000
Lever Wide Grip Seated Row (high bar, plate loaded), 1110000
Lever Alternating Wide Grip Seated Row (plate loaded), 802000
Lever Wide Grip Seated Row (plate loaded), 1950000
Lever Seated Row (no chest pad, plate loaded), 1760000
Lever Straight Back Seated Row (no chest pad, plate loaded), 2020000
Lever Seated Low Row (plate loaded), 1170000
Lever Seated High Row (plate loaded), 1200000
Lever Underhand Seated Row (plate loaded), 614000
Lever Alternating Underhand Seated Row (plate loaded), 626000
Lever T-bar Row (plate loaded), 4820000
Lever T-bar Row (plate loaded), 4820000
Lever Close Grip T-bar Row (plate loaded), 2710000
Lever Close Grip T-bar Row (plate loaded), 2710000
Cable One Arm Seated Row, 2500000
Cable Twisting Seated Row, 2300000
